SECID,SHORTNAME,ISIN,LISTLEVEL,SECNAME,BOARDID,status,TRADEDATE
CNRU,ЦИАН,RU000A10ANA1,1.0,"МКПАО ""ЦИАН""",TQBR,active,
CNTL,Телеграф,RU0007665147,3.0,"""Центральный Телеграф"" ПАО ао",TQBR,active,
CNTLP,Телеграф-п,RU0007665139,3.0,"""Центральный Телеграф"" ПАО ап",TQBR,active,
DATA,iАренадата,RU000A108ZR8,2.0,Группа Аренадата,TQBR,active,
DELI,iКаршеринг,RU000A107J11,2.0,Каршеринг Руссия ао,TQBR,active,
DIAS,iДиасофт,RU000A107ER5,2.0,Диасофт ао,TQBR,active,
DIOD,ЗаводДИОД,RU000A0JQWC1,3.0,Завод ДИОД ПАО ао,TQBR,active,
DVEC,ДЭК ао,RU000A0JP2W1,3.0,"""ДЭК"" ПАО ао",TQBR,active,
DZRD,ДонскЗР,RU000A0JQW11,3.0,Донской завод радиодеталей ао,TQBR,active,
DZRDP,ДонскЗР п,RU000A0JQW29,3.0,Донской завод радиодеталей ап,TQBR,active,
EELT,ЕвроЭлтех,RU000A0JWW54,3.0,"""ЕвропЭлектротехника"" ПАО ао",TQBR,active,
ELFV,ЭЛ5Энер ао,RU000A0F5UN3,1.0,"""ЭЛ5-Энерго"" ПАО",TQBR,active,
ELMT,Элемент,RU000A102093,3.0,Элемент,TQBR,active,
ENPG,ЭН+ГРУП ао,RU000A100K72,1.0,МКПАО ЭН+ ГРУП ао,TQBR,active,
ETLN,ETLN-гдр,US29760G1031,3.0,ГДР ETALON GROUP PLC ORD SHS,TQBR,active,
EUTR,ЕвроТранс,RU000A1002V2,1.0,ЕвроТранс ао,TQBR,active,
FEES,Россети,RU000A0JPNN9,1.0,"""ФСК - Россети"" ПАО",TQBR,active,
FESH,ДВМП ао,RU0008992318,2.0,ДВ морское пароходство ПАО ао,TQBR,active,
FIXP,FIXP-гдр,US33835G2057,3.0,ГДР FixPrice Group PLC ORD SHS,TQBR,active,
FLOT,Совкомфлот,RU000A0JXNU8,1.0,Совкомфлот ао,TQBR,active,
GAZA,ГАЗ ао,RU0009034268,3.0,ГАЗ ПАО ао,TQBR,active,
GAZAP,ГАЗ ап,RU000A0ZYHF5,3.0,ГАЗ ПАО ап,TQBR,active,
GAZC,ГАЗКОН-ао,RU000A0JQG86,3.0,ГАЗКОН (ПАО) ао,TQBR,active,
GAZP,ГАЗПРОМ ао,RU0007661625,1.0,"""Газпром"" (ПАО) ао",TQBR,active,
GAZS,ГАЗ-сервис,RU000A0JQG78,3.0,ГАЗ-сервис (ПАО) ао,TQBR,active,
GAZT,ГАЗ-Тек ао,RU000A0JS199,3.0,ГАЗ-Тек ПАО ао,TQBR,active,
GCHE,ЧеркизГ-ао,RU000A0JL4R1,3.0,Группа Черкизово ПАО-ао,TQBR,active,
GECO,iГЕНЕТИКО,RU000A105BN4,3.0,ЦГРМ ГЕНЕТИКО ао,TQBR,active,
GEMA,iММЦБ ао,RU000A100GC7,3.0,ПАО ММЦБ ао,TQBR,active,
GEMC,МКПАО ЮМГ,RU000A107JE2,1.0,Юнайтед Медикал Груп ПАО,TQBR,active,
GMKN,ГМКНорНик,RU0007288411,1.0,"ГМК ""Нор.Никель"" ПАО ао",TQBR,active,
GTRK,ГТМ ао,RU000A0ZYD22,3.0,"ПАО ""ГТМ"" ао",TQBR,active,
HEAD,Хэдхантер,RU000A107662,1.0,МКПАО Хэдхантер,TQBR,active,
HIMCP,Химпром ап,RU0009099006,3.0,Химпром ПАО ап,TQBR,active,
HNFG,ХЭНДЕРСОН,RU000A106XF2,2.0,ХЭНДЕРСОН ао,TQBR,active,
HYDR,РусГидро,RU000A0JPKH7,1.0,"ПАО ""РусГидро""",TQBR,active,
IGST,Ижсталь2ао,RU0002155292,3.0,Ижсталь ПАО ао 2в.,TQBR,active,
IGSTP,Ижсталь ап,RU0002155300,3.0,Ижсталь ПАО ап,TQBR,active,
INGR,ИНГРАД ао,RU000A0DJ9B4,3.0,ИНГРАД ПАО ао,TQBR,active,
IRAO,ИнтерРАОао,RU000A0JPNM1,1.0,"""Интер РАО"" ПАО ао",TQBR,active,
IRKT,Яковлев-3,RU0006752979,3.0,"""Яковлев"" ПАО ак.об.-3",TQBR,active,
IVAT,iИВА,RU000A108GD8,2.0,ПАО ИВА ао,TQBR,active,
JNOS,Славн-ЯНОС,RU0009100895,3.0,Славнефть-ЯНОС (ПАО) ао,TQBR,active,
JNOSP,Слав-ЯНОСп,RU0009101927,3.0,Славнефть-ЯНОС (ПАО) ап,TQBR,active,
KAZT,Куйбазот,RU000A0B9BV2,3.0,Куйбышевазот ПАО ао,TQBR,active,
KAZTP,Куйбазот-п,RU000A0B9BW0,3.0,Куйбышевазот ПАО ап,TQBR,active,
KBSB,ТНСэКубань,RU000A0JNJ11,3.0,ТНС энерго Кубань ПАО ао,TQBR,active,
KCHE,КамчатЭ ао,RU0006753498,3.0,Камчатскэнерго ПАО ао,TQBR,active,
KCHEP,КамчатЭ ап,RU0006753480,3.0,Камчатскэнерго ПАО ап,TQBR,active,
KGKC,КурганГКао,RU000A0JP120,3.0,Курганская генер.комп.ПАО ао,TQBR,active,
KGKCP,КурганГКап,RU000A0JP138,3.0,Курганская генер. комп. ПАО ап,TQBR,active,
KLSB,КалужскСК,RU000A0DKZK3,3.0,"ао""Калужская сбыт.комп.""ПАО",TQBR,active,
KLVZ,Кристалл,RU000A107KX0,3.0,Алкогольная Группа Кристалл,TQBR,active,
KMAZ,КАМАЗ,RU0008959580,2.0,КАМАЗ ПАО,TQBR,active,
KMEZ,КМЗ,RU0006753613,3.0,Ковровский механический завод,TQBR,active,
KOGK,КоршГОК ао,RU0002155359,3.0,Коршуновский ГОК ПАО ао,TQBR,active,
KRKN,СаратНПЗ,RU0009100408,3.0,Саратовский НПЗ ПАО ао,TQBR,active,
KRKNP,СаратНПЗ-п,RU0009100416,3.0,Саратовский НПЗ ПАО ап,TQBR,active,
KRKOP,ТКЗКК ап,RU0009098131,3.0,ТКЗ Красный котельщик ПАО ап,TQBR,active,
KROT,КрасОкт-ао,RU0008913850,3.0,"""КрасныйОктябрь"" ПАО - ао",TQBR,active,
KROTP,КрасОкт-1п,RU0008913868,3.0,КрасныйОктябрь-1п,TQBR,active,
KRSB,Красэсб ао,RU000A0HMLY1,3.0,Красноярскэнергосбыт ао,TQBR,active,
KRSBP,Красэсб ап,RU000A0HMLZ8,3.0,Красноярскэнергосбыт ап,TQBR,active,
KUZB,КузнецкийБ,RU000A0JSQ66,3.0,"Банк ""Кузнецкий"" ПАО ао",TQBR,active,
KZOS,ОргСинт ао,RU0009089825,3.0,"ПАО ""Органический синтез"" ао",TQBR,active,
KZOSP,ОргСинт ап,RU0006753456,3.0,"ПАО ""Органический синтез"" ап",TQBR,active,
LEAS,Европлан,RU000A0ZZFS9,1.0,ПАО «ЛК «Европлан»,TQBR,active,
LENT,Лента ао,RU000A102S15,1.0,Лента МКПАО ао,TQBR,active,
LIFE,Фармсинтез,RU000A0JR514,3.0,Фармсинтез ПАО ао,TQBR,active,
LKOH,ЛУКОЙЛ,RU0009024277,1.0,НК ЛУКОЙЛ (ПАО) - ао,TQBR,active,
LMBZ,Ламбумиз,RU000A108ZX6,3.0,Ламбумиз,TQBR,active,
LNZL,Лензолото,RU000A0JP1N2,3.0,"""Лензолото"" ПАО ао",TQBR,active,
LNZLP,Лензол. ап,RU000A0JP1P7,3.0,"""Лензолото"" ПАО ап",TQBR,active,
LPSB,ЛЭСК ао,RU000A0D8MR7,3.0,Липецкая энергосбыт.ком.ОАО ао,TQBR,active,
LSNG,РСетиЛЭ,RU0009034490,3.0,Россети Ленэнерго ПАО-ао,TQBR,active,
LSNGP,РСетиЛЭ-п,RU0009092134,3.0,Россети Ленэнерго ПАО-ап,TQBR,active,
LSRG,ЛСР ао,RU000A0JPFP0,1.0,Группа ЛСР ПАО ао,TQBR,active,
LVHK,Левенгук,RU000A0JT7Y2,3.0,Левенгук ПАО ао,TQBR,active,
MAGE,МагадЭн ао,RU0006758919,3.0,"""Магаданэнерго"" ПАО ао",TQBR,active,
MAGEP,МагадЭн ап,RU0006758893,3.0,"""Магаданэнерго"" ПАО ап",TQBR,active,
MAGN,ММК,RU0009084396,1.0,"""Магнитогорск.мет.комб"" ПАО ао",TQBR,active,
MBNK,МТС Банк,RU000A0JRH43,1.0,МТС-Банк ао,TQBR,active,
MDMG,MDMG-ао,RU000A108KL3,1.0,МКПАО «МД Медикал Груп»,TQBR,active,
MFGS,Мегион-ао,RU0009011126,3.0,"ао ""Славнефть-Мегионнефтегаз""",TQBR,active,
MFGSP,Мегион-ап,RU0009011134,3.0,ап Мегионнефтегаз,TQBR,active,
MGKL,МГКЛ,RU000A0JVJQ8,3.0,МГКЛ ао,TQBR,active,
MGNT,Магнит ао,RU000A0JKQU8,3.0,"""Магнит"" ПАО ао",TQBR,active,
MGNZ,СМЗ-ао,RU0009100911,3.0,Соликамский магн.завод(ОАО)ао,TQBR,active,
MGTS,МГТС-5ао,RU0009036461,3.0,"ПАО ""МГТС"" ао (5 в)",TQBR,active,
MGTSP,МГТС-4ап,RU0009036479,3.0,"ПАО ""МГТС"" ап (4 в)",TQBR,active,
MISB,ТНСэнМарЭл,RU000A0D8K33,3.0,ТНС энерго Марий Эл ПАО ао,TQBR,active,
MISBP,ТНСэМаЭл-п,RU000A0D8K41,3.0,ТНС энерго Марий Эл ПАО ап,TQBR,active,
MOEX,МосБиржа,RU000A0JR4A1,1.0,ПАО Московская Биржа,TQBR,active,
MRKC,РоссЦентр,RU000A0JPPL8,2.0,"ПАО ""Россети Центр"" ао",TQBR,active,
MRKK,Россети СК,RU000A0JPPQ7,3.0,Россети Сев. Кавказ ао,TQBR,active,
MRKP,РСетиЦП ао,RU000A0JPN96,2.0,Россети Центр и Приволжье ао,TQBR,active,
MRKS,РсетСиб ао,RU000A0JPPF0,2.0,Россети Сибирь ао,TQBR,active,
MRKU,Россети Ур,RU000A0JPPT1,2.0,Россети Урал (ПАО) ао,TQBR,active,
MRKV,РсетВол ао,RU000A0JPPN4,2.0,Россети Волга ао,TQBR,active,
MRKY,РоссЮг ао,RU000A0JPPG8,3.0,Россети Юг  (ПАО) ао,TQBR,active,
MRKZ,РСетиСЗ ао,RU000A0JPPB9,2.0,ПАО Россети Северо-Запад ао,TQBR,active,
MRSB,МордЭнСб,RU000A0D9AJ7,3.0,Мордовск.энергсбыт.комп.ПАО ао,TQBR,active,
MSNG,+МосЭнерго,RU0008958863,1.0,МосЭнерго акции обыкн.,TQBR,active,
MSRS,РСетиМР ао,RU000A0ET7Y7,2.0,ПАО Россети Моск.рег. ао,TQBR,active,
MSTT,Мостотрест,RU0009177331,3.0,"ПАО ""МОСТОТРЕСТ"" ао",TQBR,active,
MTLR,Мечел ао,RU000A0DKXV5,1.0,Мечел ПАО ао,TQBR,active,
MTLRP,Мечел ап,RU000A0JPV70,1.0,Мечел ПАО ап,TQBR,active,
MTSS,МТС-ао,RU0007775219,1.0,Мобильные ТелеСистемы ПАО ао,TQBR,active,
MVID,М.видео,RU000A0JPGA0,1.0,"""М.видео"" ПАО ао",TQBR,active,
NAUK,iНПОНаука,RU000A0JRPX9,3.0,НПО Наука ао,TQBR,active,
NFAZ,НЕФАЗ,RU0009115604,3.0,НЕФАЗ ПАО ао,TQBR,active,
NKHP,НКХП ао,RU000A0BLWD7,3.0,НКХП ПАО ао,TQBR,active,
NKNC,НКНХ ао,RU0009100507,3.0,"""Нижнекамскнефтехим"" ПАО ао",TQBR,active,
NKNCP,НКНХ ап,RU0006765096,3.0,"""Нижнекамскнефтехим"" ПАО ап",TQBR,active,
NKSH,Нижкамшина,RU0009100515,3.0,Нижнекамскшина ПАО ао,TQBR,active,
NLMK,НЛМК ао,RU0009046452,1.0,"ПАО ""НЛМК"" ао",TQBR,active,
NMTP,НМТП ао,RU0009084446,3.0,НМТП (ПАО) ао,TQBR,active,
NNSB,ТНСэнНН ао,RU000A0ET5A1,3.0,ТНС энерго Нижний Новг.ПАО ао,TQBR,active,
NNSBP,ТНСэнНН ап,RU000A0ET5B9,3.0,ТНС энерго Нижний Новг.ПАО ап,TQBR,active,
NSVZ,iНаукаСвяз,RU000A0JQLB6,3.0,Наука-Связь ПАО ао,TQBR,active,
NVTK,Новатэк ао,RU000A0DKVS5,1.0,"ПАО ""НОВАТЭК"" ао",TQBR,active,
OGKB,ОГК-2 ао,RU000A0JNG55,2.0,ОГК-2 ПАО ао,TQBR,active,
OKEY,OKEY-гдр,US6708662019,3.0,ГДР OKEY Group S.A. ORD SHS,TQBR,active,
OMZZP,ОМЗ-ап,RU0009090559,3.0,"ап""Объединён.  маш. заводы""",TQBR,active,
OZON,OZON-адр,US69269L1044,3.0,АДР Ozon Holdings PLC ORD SHS,TQBR,active,
OZPH,iОзонФарм,RU000A109B25,2.0,Озон Фармацевтика,TQBR,active,
PAZA,ПавлАвт ао,RU0009083240,3.0,Павловский автобус ПАО ао,TQBR,active,
PHOR,ФосАгро ао,RU000A0JRKT8,1.0,ФосАгро ПАО ао,TQBR,active,
PIKK,ПИК ао,RU000A0JP7J7,1.0,ПИК СЗ (ПАО) ао,TQBR,active,
PLZL,Полюс,RU000A0JNAA8,1.0,Полюс ПАО ао,TQBR,active,
PMSB,ПермьЭнСб,RU000A0ET123,3.0,"""Пермэнергосбыт"" ПАО ао",TQBR,active,
PMSBP,ПермьЭнС-п,RU000A0ET156,3.0,"""Пермэнергосбыт"" ПАО ап",TQBR,active,
POSI,iПозитив,RU000A103X66,1.0,Группа Позитив ао,TQBR,active,
PRFN,ЧЗПСН ао,RU000A0JNXF9,3.0,ЧЗПСН-Профнастил (ПАО) ао,TQBR,active,
PRMB,Приморье,RU000A0DPNQ5,3.0,"АКБ ""Приморье"" ао",TQBR,active,
PRMD,ПРОМОМЕД,RU000A108JF7,2.0,ПРОМОМЕД,TQBR,active,
QIWI,iNanduQPLC,US74735M1080,3.0,NanduQ PLC,TQBR,active,
RAGR,Русагро,RU000A0JQUZ6,1.0,Группа Русагро,TQBR,active,
RASP,Распадская,RU000A0B90N8,2.0,ПАО Распадская ао,TQBR,active,
RBCM,ГК РБК ао,RU000A0JR6A6,3.0,ГК РБК ПАО ао,TQBR,active,
RDRB,РДБанк ао,RU000A0JU6Q7,3.0,РоссийскийДорож Банк ПАО ао,TQBR,active,
RENI,Ренессанс,RU000A0ZZM04,1.0,Ренессанс Страхование ао,TQBR,active,
RGSS,РГС СК ао,RU0008010855,3.0,Росгосстрах СК ПАО ао,TQBR,active,
RKKE,ЭнергияРКК,RU0009095939,3.0,РКК Энергия им.С.П.Королева ао,TQBR,active,
RNFT,РуссНфт ао,RU000A0JSE60,1.0,РуссНефть НК ПАО ао,TQBR,active,
ROLO,Русолово,RU000A0JU1B0,3.0,"""Русолово"" ПАО ао",TQBR,active,
ROSN,Роснефть,RU000A0J2Q06,1.0,ПАО НК Роснефть,TQBR,active,
ROST,РОСИНТЕРао,RU000A0JP922,3.0,РОСИНТЕР РЕСТОРАНТС (ПАО),TQBR,active,
RTGZ,ГР Ростов,RU000A0JPG04,3.0,Газпром газорасп Р-н-Д ПАО ао,TQBR,active,
RTKM,Ростел -ао,RU0008943394,1.0,Ростелеком (ПАО) ао.,TQBR,active,
RTKMP,Ростел -ап,RU0009046700,1.0,Ростелеком (ПАО) ап.,TQBR,active,
RTSB,ТНСэнРст,RU000A0D8PB4,3.0,ТНС энерго Ростов. ПАО ао,TQBR,active,
RTSBP,ТНСэнРст-п,RU000A0D8PC2,3.0,ТНС энерго Ростов. ПАО ап,TQBR,active,
RUAL,РУСАЛ ао,RU000A1025V3,1.0,РУСАЛ ОК МКПАО ао,TQBR,active,
RUSI,ИКРУСС-ИНВ,RU000A0JQ9W5,3.0,РУСС-ИНВЕСТ ИК ПАО ао,TQBR,active,
RZSB,РязЭнСб,RU000A0D9AF5,3.0,"""Рязанская энергосб.комп"" ПАО",TQBR,active,
SAGO,СамарЭн-ао,RU0009098255,3.0,Самараэнерго (ПАО) - ао,TQBR,active,
SAGOP,СамарЭн-ап,RU0009084495,3.0,Самараэнерго (ПАО) - ап,TQBR,active,
SARE,СаратЭн-ао,RU0009100754,3.0,Саратовэнерго(ПАО)-ао,TQBR,active,
SAREP,СаратЭн-ап,RU0009100762,3.0,Саратовэнерго(ПАО)-ап,TQBR,active,
SBER,Сбербанк,RU0009029540,1.0,Сбербанк России ПАО ао,TQBR,active,
SBERP,Сбербанк-п,RU0009029557,1.0,Сбербанк России ПАО ап,TQBR,active,
SELG,Селигдар,RU000A0JPR50,1.0,"ПАО ""Селигдар""  ао",TQBR,active,
SFIN,ЭсЭфАй ао,RU000A0JVW89,1.0,ЭсЭфАй ПАО ао,TQBR,active,
SGZH,Сегежа,RU000A102XG9,1.0,Сегежа ао,TQBR,active,
SIBN,Газпрнефть,RU0009062467,3.0,Газпром нефть ПАО ао,TQBR,active,
SLEN,Сахэнер ао,RU0009280465,3.0,"ПАО ""Сахалинэнерго"" ао",TQBR,active,
SMLT,Самолет ао,RU000A0ZZG02,1.0,ГК Самолет ао,TQBR,active,
SNGS,Сургнфгз,RU0008926258,2.0,Сургутнефтегаз ПАО акции об.,TQBR,active,
SNGSP,Сургнфгз-п,RU0009029524,2.0,Сургутнефтегаз ПАО ап,TQBR,active,
SOFL,iСофтлайн,RU000A0ZZBC2,2.0,Софтлайн ао,TQBR,active,
SPBE,СПБ Биржа,RU000A0JQ9P9,3.0,СПБ Биржа ао,TQBR,active,
STSB,СтаврЭнСб,RU000A0ET1W4,3.0,Ставрополэнергосбыт ПАО ао,TQBR,active,
STSBP,СтаврЭнСбп,RU000A0ET1Z7,3.0,Ставрополэнергосбыт ПАО ап,TQBR,active,
SVAV,СОЛЛЕРС,RU0006914488,2.0,"ПАО ""СОЛЛЕРС""",TQBR,active,
SVCB,Совкомбанк,RU000A0ZZAC4,1.0,Совкомбанк ао,TQBR,active,
SVET,Светофор,RU000A100592,3.0,Светофор Групп ао,TQBR,active,
SVETP,Светофор п,RU000A1005A9,3.0,Светофор Групп ап,TQBR,active,
T,Т-Техно ао,RU000A107UL4,1.0,Т-Технологии МКПАО ао,TQBR,active,
TASB,ТамбЭнСб,RU000A0D8NG8,3.0,"ао""Тамбов.энергсбыт.комп.""ПАО",TQBR,active,
TASBP,ТамбЭнСб-п,RU000A0D8NH6,3.0,"ап""Тамбов.энергсбыт.комп.""ПАО",TQBR,active,
TATN,Татнфт 3ао,RU0009033591,1.0,"ПАО ""Татнефть"" ао",TQBR,active,
TATNP,Татнфт 3ап,RU0006944147,1.0,"ПАО ""Татнефть"" ап 3 вып.",TQBR,active,
TGKA,ТГК-1,RU000A0JNUD0,1.0,"ао ПАО ""ТГК-1""",TQBR,active,
TGKB,ТГК-2,RU000A0JNGS7,3.0,"ао ПАО ""ТГК-2""",TQBR,active,
TGKBP,ТГК-2 ап,RU000A0JNGT5,3.0,"ап ПАО ""ТГК-2""",TQBR,active,
TGKN,ТГК-14,RU000A0H1ES3,2.0,"ао ПАО ""ТГК-14""",TQBR,active,
TNSE,ТНСэнрг ао,RU000A0JUCQ5,3.0,"ПАО ГК ""ТНС энерго"" ао",TQBR,active,
TORS,РСТомск ао,RU000A0ETZF2,3.0,"ао ПАО ""Россети Томск""",TQBR,active,
TORSP,РСТомск ап,RU000A0ETZM8,3.0,"ап ПАО ""Россети Томск""",TQBR,active,
TRMK,ТМК ао,RU000A0B6NK6,2.0,ПАО ТМК,TQBR,active,
TRNFP,Транснф ап,RU0009091573,1.0,Транснефть ПАО акц.пр.,TQBR,active,
TTLK,Таттел. ао,RU000A0HM5C1,3.0,"""Таттелеком"" ПАО ао",TQBR,active,
TUZA,ТЗА ао,RU000A0HL7A2,3.0,Туймаз. завод автобетоновозов,TQBR,active,
UGLD,ЮГК,RU000A0JPP37,2.0,ЮГК,TQBR,active,
UKUZ,ЮжКузб. ао,RU0005294775,3.0,Южный Кузбасс ПАО ао,TQBR,active,
UNAC,iАвиастКао,RU000A0JPLZ7,3.0,Об.авиастр.корп. ПАО ао,TQBR,active,
UNKL,ЮУНК ао,RU0004887991,3.0,Южно-Уральский никел. комб. ао,TQBR,active,
UPRO,Юнипро ао,RU000A0JNGA5,1.0,Юнипро ПАО ао,TQBR,active,
URKZ,УрКузница,RU000A0JPFY2,3.0,"ПАО ""Уральская кузница"" ао",TQBR,active,
USBN,УралСиб ао,RU0006929536,3.0,БАНК УРАЛСИБ ПАО ао,TQBR,active,
UTAR,ЮТэйр ао,RU0007661385,3.0,"Авиакомпания ""ЮТэйр"" (ПАО) ао",TQBR,active,
UWGN,ОВК ао,RU000A0JVBT9,3.0,ПАО НПК ОВК ао,TQBR,active,
VEON-RX,VEON,BMG9349W1038,3.0,VEON Ltd. ORD SHS,TQBR,active,
VGSB,ВолгЭнСб,RU000A0D8L73,3.0,"""Волгоград.энергосбыткомп"" ПАО",TQBR,active,
VGSBP,ВолгЭнСб-п,RU000A0D8L57,3.0,"""Волгоград.энергосбыткомп"" ПАО",TQBR,active,
VJGZ,Варьеган,RU0009046460,3.0,ННК-Варьеганнефтегаз ПАО ао,TQBR,active,
VJGZP,Варьеган-п,RU0007964789,3.0,ННК-Варьеганнефтегаз ПАО ап,TQBR,active,
VKCO,"МКПАО ""ВК""",RU000A106YF0,1.0,Международная компания ПАО ВК,TQBR,active,
VLHZ,ВХЗ-ао,RU0007984761,3.0,Владимирский химич.з-д(ПАО) ао,TQBR,active,
VRSB,ТНСэнВорон,RU000A0DPG67,3.0,ТНС энерго Воронеж ПАО ао,TQBR,active,
VRSBP,ТНСэнВор-п,RU000A0DPG75,3.0,ТНС энерго Воронеж ПАО ап,TQBR,active,
VSEH,ВИ.ру,RU000A108K09,1.0,ВИ.ру,TQBR,active,
VSMO,ВСМПО-АВСМ,RU0009100291,2.0,Корп. ВСМПО-АВИСМА (ПАО) ао,TQBR,active,
VSYD,ВыбСудЗ ао,RU0006334372,3.0,Выборгский Суд.Завод ПАО ао,TQBR,active,
VSYDP,ВыбСудЗ ап,RU0006334380,3.0,Выборгский Суд.Завод ПАО ап,TQBR,active,
VTBR,ВТБ ао,RU000A0JP5V6,1.0,ао ПАО Банк ВТБ,TQBR,active,
WTCM,ЦМТ ао,RU0008137070,3.0,"""Центр междун. торговли""ПАО ао",TQBR,active,
WTCMP,ЦМТ ап,RU0008137088,3.0,"""Центр междун. торговли""ПАО ап",TQBR,active,
WUSH,iВУШХолднг,RU000A105EX7,2.0,ВУШ Холдинг ао,TQBR,active,
X5,КЦ ИКС 5,RU000A108X38,1.0,Корпоративный центр ИКС 5,TQBR,active,
YAKG,ЯТЭК ао,RU0007796819,3.0,Якутская топл.-энерг. комп. ао,TQBR,active,
YDEX,ЯНДЕКС,RU000A107T19,1.0,МКПАО ЯНДЕКС,TQBR,active,
YKEN,Якутскэнрг,RU0009257075,3.0,"АК ""Якутскэнерго"" (ПАО) ао",TQBR,active,
YKENP,Якутскэн-п,RU0007796827,3.0,"АК ""Якутскэнерго"" (ПАО) ап",TQBR,active,
YRSB,ТНСэнЯр,RU000A0D8760,3.0,ТНС энерго Ярославль ПАО ао,TQBR,active,
YRSBP,ТНСэнЯр-п,RU000A0D88B3,3.0,ТНС энерго Ярославль ПАО ап,TQBR,active,
ZAYM,Займер ао,RU000A107RM8,3.0,Займер ао,TQBR,active,
ZILL,ЗИЛ ао,RU0009086193,3.0,Завод им. И.А.Лихачева ПАО ао,TQBR,active,
ZVEZ,ЗВЕЗДА ао,RU0009091300,3.0,ЗВЕЗДА ПАО ао,TQBR,active,
RU0005418747,ФондПервый,RU0005418747,3.0,ОПИФ Фонд Первый,TQIF,active,
RU0006922010,ФондКонс,RU0006922010,3.0,ОПИФ Фонд Консервативный,TQIF,active,
RU0006922044,БКСАкцрост,RU0006922044,3.0,"ОПИФ ""БКС Акции роста""",TQIF,active,
RU000A0ERGA7,ПИФСбер-КН,RU000A0ERGA7,3.0,ПИФСбербанк Комм.недвижимость,TQIF,active,
RU000A0HGNG6,АрсагераФА,RU000A0HGNG6,3.0,ОПИФ Арсагера - фонд акций,TQIF,active,
RU000A0HGNH4,ПИФАрсСИ,RU000A0HGNH4,3.0,Арсагера фонд смеш. инвестиц.,TQIF,active,
RU000A0JP773,БКС РосАкц,RU000A0JP773,3.0,ОПИФ БКС Российские Акции,TQIF,active,
RU000A0JP799,БКС РосОбл,RU000A0JP799,3.0,ОПИФ БКС Российские облигации,TQIF,active,
RU000A0JPMD2,ПИФАрс6.4,RU000A0JPMD2,3.0,Арсагера-акции 6.4 ПИФ,TQIF,active,
RU000A0JPZL7,АкБрс-Инв,RU000A0JPZL7,3.0,"Ак Барс ПИФ ""АК БАРС-Инвестиц""",TQIF,active,
RU000A0JPZP8,АкБрс-Прсп,RU000A0JPZP8,3.0,УКАкБарсКап ПИФ АК БАРС-Персп.,TQIF,active,
RU000A0JR282,ПИФАкции,RU000A0JR282,3.0,ПИФ Акции УК ВИМИнвест,TQIF,active,
RU000A0JR290,ПИФИнМосБр,RU000A0JR290,3.0,ПИФ ИндексМосБиржи УКВИМИнвест,TQIF,active,
RU000A0JR2A5,ПИФСбалан,RU000A0JR2A5,3.0,ПИФ Сбалансир Инв УК ВИМИнвест,TQIF,active,
RU000A0JR2C1,ПИФКазна,RU000A0JR2C1,3.0,ПИФ Казначейский УК ВИМИнвест,TQIF,active,
RU000A0JRHC0,ПИФ АТРИУМ,RU000A0JRHC0,3.0,ПИФ АТРИУМ УК ВЕЛЕС ТР,TQIF,active,
RU000A0JRUQ3,ТКБИП Сбал,RU000A0JRUQ3,3.0,ОПИФ ТКБИП Сбалансированный,TQIF,active,
RU000A0JS991,ПИФКоммИнв,RU000A0JS991,3.0,ПИФ Коммерческие Инвестиции,TQIF,active,
RU000A0JT4S1,НакопРез,RU000A0JT4S1,3.0,ОПИФ Накопительный резерв,TQIF,active,
RU000A0JTVY1,ПИФНевский,RU000A0JTVY1,3.0,ПИФ Невский УК ЭМРИС,TQIF,active,
RU000A0JUR61,ПИФ КОНСЕР,RU000A0JUR61,3.0,УК ПЕРАМО ИН ПИФ КОНСЕРВАТОРия,TQIF,active,
RU000A0JUTH8,ПИФВариант,RU000A0JUTH8,3.0,ЗПИФ Вариант УК ТЕТИС Кэпитал,TQIF,active,
RU000A0JUYB1,ЗПИФЛофтин,RU000A0JUYB1,3.0,ЗПИФ Лофтинвест,TQIF,active,
RU000A0JVEZ0,ИСУ ГК-3,RU000A0JVEZ0,3.0,"ИСУ ГК-3 ""Ай Кью Джи"" УА",TQIF,active,
RU000A0JVGP6,ЗПИФПромИн,RU000A0JVGP6,3.0,"ЗПИФ ""Пром.Ин"" УК ПИ",TQIF,active,
RU000A0JVHY6,БКСИмперия,RU000A0JVHY6,3.0,ОПИФ БКС Империя,TQIF,active,
RU000A0JVJ29,БКСДрагМет,RU000A0JVJ29,3.0,ОПИФ БКС Драгоценные Металлы,TQIF,active,
RU000A0JWAW3,СФНАрБизн,RU000A0JWAW3,3.0,ПИФ СФН - Арендный бизнес,TQIF,active,
RU000A0JWCE7,Перловский,RU000A0JWCE7,3.0,ЗПИФ Недвижимости Перловский,TQIF,active,
RU000A0JXP78,ЗПИФДОМ.РФ,RU000A0JXP78,3.0,ЗПИФ недвижимости ДОМ.РФ,TQIF,active,
RU000A0JXWF0,АрсКР1.55,RU000A0JXWF0,3.0,Арсагера фонд обл КР 1.55,TQIF,active,
RU000A0ZYC64,СоврАрБиз2,RU000A0ZYC64,3.0,ЗПИФ СовременАрендный бизнес 2,TQIF,active,
RU000A0ZZ422,ТРЗПИФ,RU000A0ZZ422,3.0,ЗПИФ Торговые ряды,TQIF,active,
