SECID,SHORTNAME,SECNAME,ISIN,PREVPRICE,LOTSIZE,FACEVALUE,FACEUNIT,PREVDATE
GAZS,ГАЗ-сервис,ГАЗ-сервис (ПАО) ао,RU000A0JQG78,839.0,10,10.0,SUR,2025-04-04
GAZT,ГАЗ-Тек ао,ГАЗ-Тек ПАО ао,RU000A0JS199,1739.0,10,100.0,SUR,2025-04-04
GCHE,ЧеркизГ-ао,Группа Черкизово ПАО-ао,RU000A0JL4R1,4109.0,1,0.01,SUR,2025-04-04
GECO,iГЕНЕТИКО,ЦГРМ ГЕНЕТИКО ао,RU000A105BN4,28.3,10,0.01,SUR,2025-04-04
GEMA,iММЦБ ао,ПАО ММЦБ ао,RU000A100GC7,125.1,10,0.01,SUR,2025-04-04
GEMC,МКПАО ЮМГ,Юнайтед Медикал Груп ПАО,RU000A107JE2,770.8,1,0.03721404,SUR,2025-04-04
GMKN,ГМКНорНик,"ГМК ""Нор.Никель"" ПАО ао",RU0007288411,110.9,10,0.01,SUR,2025-04-04
GTRK,ГТМ ао,"ПАО ""ГТМ"" ао",RU000A0ZYD22,230.3,10,100.0,SUR,2025-04-04
HEAD,Хэдхантер,МКПАО Хэдхантер,RU000A107662,3088.0,1,1.0,SUR,2025-04-04
HIMCP,Химпром ап,Химпром ПАО ап,RU0009099006,21.4,100,1.0,SUR,2025-04-04
HNFG,ХЭНДЕРСОН,ХЭНДЕРСОН ао,RU000A106XF2,578.2,1,50.0,SUR,2025-04-04
HYDR,РусГидро,"ПАО ""РусГидро""",RU000A0JPKH7,0.4616,1000,1.0,SUR,2025-04-04
IGST,Ижсталь2ао,Ижсталь ПАО ао 2в.,RU0002155292,6440.0,1,1000.0,SUR,2025-04-04
IGSTP,Ижсталь ап,Ижсталь ПАО ап,RU0002155300,4450.0,1,1000.0,SUR,2025-04-04
INGR,ИНГРАД ао,ИНГРАД ПАО ао,RU000A0DJ9B4,1636.0,1,1000.0,SUR,2025-04-04
IRAO,ИнтерРАОао,"""Интер РАО"" ПАО ао",RU000A0JPNM1,3.519,100,2.809767,SUR,2025-04-04
IRKT,Яковлев-3,"""Яковлев"" ПАО ак.об.-3",RU0006752979,31.84,100,3.0,SUR,2025-04-04
IVAT,iИВА,ПАО ИВА ао,RU000A108GD8,162.65,1,0.1,SUR,2025-04-04
JNOS,Славн-ЯНОС,Славнефть-ЯНОС (ПАО) ао,RU0009100895,17.75,100,1.0,SUR,2025-04-04
JNOSP,Слав-ЯНОСп,Славнефть-ЯНОС (ПАО) ап,RU0009101927,10.8,100,1.0,SUR,2025-04-04
KAZT,Куйбазот,Куйбышевазот ПАО ао,RU000A0B9BV2,487.4,10,1.0,SUR,2025-04-04
KAZTP,Куйбазот-п,Куйбышевазот ПАО ап,RU000A0B9BW0,493.0,10,1.0,SUR,2025-04-04
KBSB,ТНСэКубань,ТНС энерго Кубань ПАО ао,RU000A0JNJ11,431.0,10,0.56,SUR,2025-04-04
KCHE,КамчатЭ ао,Камчатскэнерго ПАО ао,RU0006753498,0.479,10000,0.1,SUR,2025-04-04
KCHEP,КамчатЭ ап,Камчатскэнерго ПАО ап,RU0006753480,0.835,10000,0.1,SUR,2025-04-04
KGKC,КурганГКао,Курганская генер.комп.ПАО ао,RU000A0JP120,42.2,10,7.2,SUR,2025-04-04
KGKCP,КурганГКап,Курганская генер. комп. ПАО ап,RU000A0JP138,51.0,10,7.2,SUR,2025-04-04
KLSB,КалужскСК,"ао""Калужская сбыт.комп.""ПАО",RU000A0DKZK3,21.99,100,0.2,SUR,2025-04-04
