SECID,SHORTNAME,SECNAME,ISIN,PREVPRICE,LOTSIZE,FACEVALUE,FACEUNIT,PREVDATE
URKZ,УрКузница,"ПАО ""Уральская кузница"" ао",RU000A0JPFY2,35700.0,1,1.0,SUR,2025-04-04
USBN,УралСиб ао,БАНК УРАЛСИБ ПАО ао,RU0006929536,0.165,10000,0.1,SUR,2025-04-04
UTAR,ЮТэйр ао,"Авиакомпания ""ЮТэйр"" (ПАО) ао",RU0007661385,12.71,100,1.0,SUR,2025-04-04
UWGN,ОВК ао,ПАО НПК ОВК ао,RU000A0JVBT9,43.54,1,1.0,SUR,2025-04-04
VEON-RX,VEON,VEON Ltd. ORD SHS,BMG9349W1038,96.2,10,0.001,USD,2025-04-04
VGSB,ВолгЭнСб,"""Волгоград.энергосбыткомп"" ПАО",RU000A0D8L73,11.05,1000,0.12,SUR,2025-04-04
VGSBP,ВолгЭнСб-п,"""Волгоград.энергосбыткомп"" ПАО",RU000A0D8L57,10.6,1000,0.12,SUR,2025-04-04
VJGZ,Варьеган,ННК-Варьеганнефтегаз ПАО ао,RU0009046460,2435.0,1,0.1,SUR,2025-04-04
VJGZP,Варьеган-п,ННК-Варьеганнефтегаз ПАО ап,RU0007964789,1550.0,1,0.1,SUR,2025-04-04
VKCO,"МКПАО ""ВК""",Международная компания ПАО ВК,RU000A106YF0,263.4,1,0.000450595,SUR,2025-04-04
VLHZ,ВХЗ-ао,Владимирский химич.з-д(ПАО) ао,RU0007984761,199.2,10,20.0,SUR,2025-04-04
VRSB,ТНСэнВорон,ТНС энерго Воронеж ПАО ао,RU000A0DPG67,408.5,10,0.4,SUR,2025-04-04
VRSBP,ТНСэнВор-п,ТНС энерго Воронеж ПАО ап,RU000A0DPG75,137.2,10,0.4,SUR,2025-04-04
VSEH,ВИ.ру,ВИ.ру,RU000A108K09,97.55,1,0.01,SUR,2025-04-04
VSMO,ВСМПО-АВСМ,Корп. ВСМПО-АВИСМА (ПАО) ао,RU0009100291,31240.0,1,1.0,SUR,2025-04-04
VSYD,ВыбСудЗ ао,Выборгский Суд.Завод ПАО ао,RU0006334372,12100.0,1,0.5,SUR,2025-04-04
VSYDP,ВыбСудЗ ап,Выборгский Суд.Завод ПАО ап,RU0006334380,8600.0,1,0.5,SUR,2025-04-04
VTBR,ВТБ ао,ао ПАО Банк ВТБ,RU000A0JP5V6,72.25,1,50.0,SUR,2025-04-04
WTCM,ЦМТ ао,"""Центр междун. торговли""ПАО ао",RU0008137070,13.04,100,1.0,SUR,2025-04-04
WTCMP,ЦМТ ап,"""Центр междун. торговли""ПАО ап",RU0008137088,11.46,100,1.0,SUR,2025-04-04
WUSH,iВУШХолднг,ВУШ Холдинг ао,RU000A105EX7,188.78,1,0.01,SUR,2025-04-04
X5,КЦ ИКС 5,Корпоративный центр ИКС 5,RU000A108X38,3246.5,1,1164.26,SUR,2025-04-04
YAKG,ЯТЭК ао,Якутская топл.-энерг. комп. ао,RU0007796819,61.8,10,1.0,SUR,2025-04-04
YDEX,ЯНДЕКС,МКПАО ЯНДЕКС,RU000A107T19,4088.0,1,0.4,SUR,2025-04-04
YKEN,Якутскэнрг,"АК ""Якутскэнерго"" (ПАО) ао",RU0009257075,0.495,10000,2.22,SUR,2025-04-04
YKENP,Якутскэн-п,"АК ""Якутскэнерго"" (ПАО) ап",RU0007796827,0.394,10000,2.22,SUR,2025-04-04
YRSB,ТНСэнЯр,ТНС энерго Ярославль ПАО ао,RU000A0D8760,736.0,10,1.0,SUR,2025-04-04
YRSBP,ТНСэнЯр-п,ТНС энерго Ярославль ПАО ап,RU000A0D88B3,182.5,10,1.0,SUR,2025-04-04
ZAYM,Займер ао,Займер ао,RU000A107RM8,141.45,10,0.1,SUR,2025-04-04
ZILL,ЗИЛ ао,Завод им. И.А.Лихачева ПАО ао,RU0009086193,3735.0,1,1000.0,SUR,2025-04-04
ZVEZ,ЗВЕЗДА ао,ЗВЕЗДА ПАО ао,RU0009091300,7.82,1000,0.1,SUR,2025-04-04
