SECID,BOARDID,NAME,DECIMALS,SHORTNAME,ANNUALHIGH,ANNUALLOW,CURRENCYID,CALCMODE
MOEXREPO1WE,SNDX,MOEXREPO 1 неделя 19:00,2,MOEXREPO1WE,22.09,14.41,RUB,
MOEXREPOE,SNDX,MOEXREPO обл 19:00,2,MXREPOE,21.85,15.01,RUB,
MOEXREPOEQ,SNDX,MOEXREPO акц 12:30,2,MXREPOEQ,22.03,15.31,RUB,
MOEXREPOEQE,SNDX,MOEXREPO акц 19:00,2,MXREPOEQE,21.92,15.15,RUB,
MOEXREPOUSD,SNDX,MOEXREPO USD 12:30,2,MOEXREPOUSD,119.82,0.05,USD,
MOEXREPOUSDE,SNDX,MOEXREPO USD 19:00,2,MOEXREPOUSDE,201.32,0.1,USD,
MOEXTL,SNDX,Индекс МосБиржи телекоммуникаций,2,Индекс телекоммуникаций,2382.05,1209.05,RUB,
MOEXTN,SNDX,Индекс МосБиржи транспорта,2,Индекс транспорта,2121.73,1307.26,RUB,
MRBC,SNDX,Индекс МосБиржи 15,2,Индекс МосБиржи 15,1687.85,1119.61,RUB,Индекс акций
RGBI,SNDX,Индекс Мосбиржи государственных облигаций ценовой,2,Индекс Мосбиржи гос обл RGBI,115.29,96.31,RUB,CP
RGBITR,SNDX,Индекс Мосбиржи государственных облигаций,2,Индекс Мосбиржи гос обл RGBITR,655.75,536.36,RUB,TR
RPGCC,SNDX,MOEXREPO КСУ 12:30,2,MOEXREPOGCC,21.91,15.1,RUB,
RPGCC1W,SNDX,MOEXREPO КСУ 1 неделя 12:30,2,MOEXREPOGCC1W,22.1,15.26,RUB,
RPGCC1WE,SNDX,MOEXREPO КСУ 1 неделя 19:00,2,MOEXREPOGCC1WE,22.01,15.16,RUB,
RPGCCE,SNDX,MOEXREPO КСУ 19:00,2,MOEXREPOGCCE,21.82,14.8,RUB,
RUCBCP3Y,SNDX,Индекс Мосбиржи корпоративных облигаций MOEX 1 - 3 ценовой,2,Индекс Мосбиржи корп обл CBICP 3-5,90.32,84.94,RUB,CP
RUCBCP5Y,SNDX,Индекс Мосбиржи корпоративных облигаций ценовой 3-5,2,Индекс Мосбиржи корп обл CBICP 1-3,115.34,104.97,RUB,CP
RUCBICP,SNDX,Индекс Мосбиржи корпоративных облигаций ценовой,2,Индекс Мосбиржи корп обл CBICP,92.77,86.95,RUB,CP
RUCBITR,SNDX,Индекс Мосбиржи корпоративных облигаций,2,Индекс Мосбиржи корп обл CBITR,513.11,449.47,RUB,TR
RUCBTR3Y,SNDX,Индекс Мосбиржи корпоративных облигаций MOEX 1-3,2,Индекс Мосбиржи корп обл CBITR 3-5,500.23,437.8,RUB,TR
RUCBTR5Y,SNDX,Индекс Мосбиржи корпоративных облигаций 3-5,2,Индекс Мосбиржи корп обл CBITR 1-3,611.54,530.86,RUB,TR
RUMBICP,SNDX,Индекс Мосбиржи муниципальных облигаций ценовой,2,Индекс Мосбиржи мун обл MOEX MBICP,95.09,89.01,RUB,CP
RUMBITR,SNDX,Индекс Мосбиржи муниципальных облигаций,2,Индекс Мосбиржи мун обл MBITR,342.67,301.29,RUB,TR
