ticker,tradedate,open,high,low,close,value,volume,boardid
MISB,2014-06-17 00:00:00,1.752,2.5,1.752,2.5,6007.0,3000,TQBR
MISB,2014-08-21 00:00:00,3.0,3.0,1.521,1.521,4521.0,2000,TQBR
MISB,2014-08-22 00:00:00,2.5,2.6,2.5,2.6,23300.0,9000,TQBR
MISB,2014-08-25 00:00:00,2.63,2.65,2.63,2.65,18510.0,7000,TQBR
MISB,2014-10-01 00:00:00,1.63,2.05,1.62,2.05,16440.0,9000,TQBR
MISB,2014-10-02 00:00:00,2.35,2.45,2.35,2.45,4800.0,2000,TQBR
MISB,2014-10-17 00:00:00,1.61,2.0,1.6,2.0,14810.0,8000,TQBR
MISB,2014-11-03 00:00:00,2.5,2.5,2.5,2.5,2500.0,1000,TQBR
MISB,2014-11-13 00:00:00,2.5,2.5,2.5,2.5,2500.0,1000,TQBR
MISB,2014-12-16 00:00:00,2.5,2.5,2.5,2.5,5000.0,2000,TQBR
MISB,2015-01-13 00:00:00,1.62,2.0,1.62,2.0,14470.0,8000,TQBR
MISB,2015-01-15 00:00:00,2.0,2.0,2.0,2.0,2000.0,1000,TQBR
MISB,2015-02-06 00:00:00,1.64,1.64,1.64,1.64,4920.0,3000,TQBR
MISB,2015-02-09 00:00:00,2.3,2.5,2.3,2.5,12280.0,5000,TQBR
MISB,2015-02-17 00:00:00,2.5,2.5,2.5,2.5,5000.0,2000,TQBR
MISB,2015-02-18 00:00:00,2.49,2.5,2.49,2.5,42340.0,17000,TQBR
MISB,2015-03-26 00:00:00,2.41,2.41,2.41,2.41,31330.0,13000,TQBR
MISB,2015-04-02 00:00:00,2.45,2.45,2.45,2.45,9800.0,4000,TQBR
MISB,2015-04-06 00:00:00,2.4,2.5,2.4,2.45,53650.0,22000,TQBR
MISB,2015-04-14 00:00:00,2.5,2.5,2.5,2.5,32500.0,13000,TQBR
MISB,2015-04-15 00:00:00,2.7,2.99,2.7,2.99,58930.0,20000,TQBR
MISB,2015-04-17 00:00:00,2.99,2.99,2.99,2.99,5980.0,2000,TQBR
MISB,2015-04-30 00:00:00,2.5,2.5,2.5,2.5,2500.0,1000,TQBR
MISB,2015-05-27 00:00:00,1.6,2.0,1.6,2.0,5200.0,3000,TQBR
MISB,2015-05-28 00:00:00,2.44,2.44,2.44,2.44,2440.0,1000,TQBR
MISB,2015-06-05 00:00:00,2.2,2.2,2.2,2.2,2200.0,1000,TQBR
MISB,2015-06-15 00:00:00,2.99,2.99,2.99,2.99,2990.0,1000,TQBR
MISB,2015-06-19 00:00:00,2.3,2.3,2.3,2.3,2300.0,1000,TQBR
MISB,2015-08-28 00:00:00,2.01,2.01,2.0,2.0,10010.0,5000,TQBR
MISB,2015-09-03 00:00:00,2.5,2.5,2.5,2.5,2500.0,1000,TQBR
MISB,2015-09-16 00:00:00,2.99,2.99,2.99,2.99,2990.0,1000,TQBR
MISB,2015-09-28 00:00:00,2.99,2.99,2.99,2.99,2990.0,1000,TQBR
MISB,2015-10-05 00:00:00,3.11,3.11,3.11,3.11,3110.0,1000,TQBR
MISB,2015-10-14 00:00:00,3.2,3.5,3.2,3.5,10030.0,3000,TQBR
MISB,2015-10-16 00:00:00,3.51,3.51,3.51,3.51,3510.0,1000,TQBR
MISB,2015-10-22 00:00:00,3.5,3.5,3.5,3.5,3500.0,1000,TQBR
MISB,2015-11-02 00:00:00,3.51,3.51,3.51,3.51,3510.0,1000,TQBR
MISB,2015-11-25 00:00:00,3.51,3.51,3.5,3.5,7010.0,2000,TQBR
MISB,2015-12-04 00:00:00,3.6,3.6,3.6,3.6,3600.0,1000,TQBR
MISB,2015-12-15 00:00:00,3.51,3.51,3.51,3.51,3510.0,1000,TQBR
MISB,2015-12-16 00:00:00,3.56,3.56,3.56,3.56,3560.0,1000,TQBR
MISB,2015-12-17 00:00:00,3.65,3.65,3.65,3.65,18250.0,5000,TQBR
MISB,2015-12-24 00:00:00,3.65,3.65,3.65,3.65,36500.0,10000,TQBR
